2026-05-28 12:40:58,497 - matplotlib - DEBUG - matplotlib data path: /home/kraz/Documents/GitHub/video-detection-bp/.env/lib/python3.12/site-packages/matplotlib/mpl-data
2026-05-28 12:40:58,502 - matplotlib - DEBUG - CONFIGDIR=/home/kraz/.config/matplotlib
2026-05-28 12:40:58,502 - matplotlib - DEBUG - interactive is False
2026-05-28 12:40:58,502 - matplotlib - DEBUG - platform is linux
2026-05-28 12:40:58,520 - matplotlib - DEBUG - CACHEDIR=/home/kraz/.cache/matplotlib
2026-05-28 12:40:58,522 - matplotlib.font_manager - DEBUG - Using fontManager instance from /home/kraz/.cache/matplotlib/fontlist-v390.json
2026-05-28 12:41:01,175 - DatabaseOperations - INFO - Connecting to database at detections.db
2026-05-28 12:41:01,176 - DatabaseOperations - DEBUG - Setting PRAGMA statements for database optimization
2026-05-28 12:41:02,531 - matplotlib - DEBUG - matplotlib data path: /home/kraz/Documents/GitHub/video-detection-bp/.env/lib/python3.12/site-packages/matplotlib/mpl-data
2026-05-28 12:41:02,536 - matplotlib - DEBUG - CONFIGDIR=/home/kraz/.config/matplotlib
2026-05-28 12:41:02,536 - matplotlib - DEBUG - interactive is False
2026-05-28 12:41:02,537 - matplotlib - DEBUG - platform is linux
2026-05-28 12:41:02,552 - matplotlib - DEBUG - CACHEDIR=/home/kraz/.cache/matplotlib
2026-05-28 12:41:02,554 - matplotlib.font_manager - DEBUG - Using fontManager instance from /home/kraz/.cache/matplotlib/fontlist-v390.json
2026-05-28 12:41:02,612 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:02,963 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:03,313 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:03,664 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:04,014 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:04,365 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:04,715 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:05,066 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:05,187 - DatabaseOperations - INFO - Connecting to database at detections.db
2026-05-28 12:41:05,187 - DatabaseOperations - DEBUG - Setting PRAGMA statements for database optimization
2026-05-28 12:41:05,416 - watchfiles.main - DEBUG - 5 changes detected: {(<Change.deleted: 3>, '/home/kraz/Documents/GitHub/video-detection-bp/detections.db-shm'), (<Change.added: 1>, '/home/kraz/Documents/GitHub/video-detection-bp/detections.db-shm'), (<Change.deleted: 3>, '/home/kraz/Documents/GitHub/video-detection-bp/detections.db-wal'), (<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log'), (<Change.added: 1>, '/home/kraz/Documents/GitHub/video-detection-bp/detections.db-wal')}
2026-05-28 12:41:05,767 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:06,117 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:06,468 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:06,818 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:07,169 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:07,520 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:07,870 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:08,221 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:08,572 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:08,922 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:09,273 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:09,624 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:09,974 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:10,325 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:10,676 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
